"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 16 03:43:45 GMT 2022","Mon May 16 03:44:09 GMT 2022","24050","","","","","","emkworld.com заказать звонок -- @1.1 ",""
"passed","Mon May 16 03:48:40 GMT 2022","Mon May 16 03:49:16 GMT 2022","35993","","","","","","корзина emk24 -- @1.3 ",""
"passed","Mon May 16 03:55:20 GMT 2022","Mon May 16 03:55:41 GMT 2022","21051","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"passed","Mon May 16 03:44:35 GMT 2022","Mon May 16 03:44:52 GMT 2022","17009","","","","","","forging.emk24.su секция 1 и 2 -- @1.1 ",""
"passed","Mon May 16 04:10:47 GMT 2022","Mon May 16 04:15:32 GMT 2022","284828","","","","","","контакты emk24 -- @1.4 ",""
"passed","Mon May 16 03:55:53 GMT 2022","Mon May 16 03:59:05 GMT 2022","192265","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Mon May 16 03:45:07 GMT 2022","Mon May 16 03:45:20 GMT 2022","12624","","","","","","forging.emk24.su секция 3",""
"passed","Mon May 16 03:36:50 GMT 2022","Mon May 16 03:36:59 GMT 2022","9111","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Mon May 16 04:26:41 GMT 2022","Mon May 16 04:27:00 GMT 2022","19476","","","","","","emk24 -- @1.3 ",""
"passed","Mon May 16 03:36:39 GMT 2022","Mon May 16 03:36:50 GMT 2022","10946","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Mon May 16 04:02:31 GMT 2022","Mon May 16 04:04:15 GMT 2022","104282","","","","","","контакты emk24 -- @1.1 ",""
"passed","Mon May 16 03:47:14 GMT 2022","Mon May 16 03:47:25 GMT 2022","11391","","","","","","railws.com оставить заявку -- @1.1 ",""
"broken","Mon May 16 03:44:09 GMT 2022","Mon May 16 03:44:35 GMT 2022","26608","","","","","","emkworld.com оставить заявку -- @1.1 ",""
"passed","Mon May 16 04:29:28 GMT 2022","Mon May 16 04:29:45 GMT 2022","17087","","","","","","emk24 -- @1.1 ",""
"passed","Mon May 16 04:29:45 GMT 2022","Mon May 16 04:31:32 GMT 2022","106547","","","","","","emk24 -- @1.2 ",""
"broken","Mon May 16 03:40:20 GMT 2022","Mon May 16 03:43:45 GMT 2022","204862","","","","","","emkmet_ru секция 3",""
"passed","Mon May 16 03:50:04 GMT 2022","Mon May 16 03:51:56 GMT 2022","111995","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"broken","Mon May 16 04:28:19 GMT 2022","Mon May 16 04:28:56 GMT 2022","36957","","","","","","Заказ сплава emk24 -- @1.3 ",""
