"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 13 05:31:17 GMT 2022","Sun Mar 13 05:46:37 GMT 2022","919864","","","","","","forging.emk24.su секция 3",""
"broken","Sun Mar 13 04:34:20 GMT 2022","Sun Mar 13 04:49:38 GMT 2022","918184","","","","","","emkmet_ru секция 3",""
"passed","Sun Mar 13 06:00:55 GMT 2022","Sun Mar 13 06:01:26 GMT 2022","30744","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"passed","Sun Mar 13 05:55:36 GMT 2022","Sun Mar 13 05:55:51 GMT 2022","14866","","","","","","railws.com оставить заявку -- @1.1 ",""
"passed","Sun Mar 13 06:03:52 GMT 2022","Sun Mar 13 06:05:38 GMT 2022","106001","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Sun Mar 13 04:55:12 GMT 2022","Sun Mar 13 04:58:29 GMT 2022","196833","","","","","","emksteel.ru диалог оставить заявку -- @1.2 ",""
"passed","Sun Mar 13 06:23:24 GMT 2022","Sun Mar 13 06:25:14 GMT 2022","110305","","","","","","Заказ сплава emk24 -- @1.3 ",""
"passed","Sun Mar 13 05:58:58 GMT 2022","Sun Mar 13 06:00:55 GMT 2022","117242","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"broken","Sun Mar 13 05:00:35 GMT 2022","Sun Mar 13 05:15:58 GMT 2022","922197","","","","","","forging.emk24.su секция 1 и 2 -- @1.1 ",""
"passed","Sun Mar 13 06:25:14 GMT 2022","Sun Mar 13 06:25:29 GMT 2022","15010","","","","","","Заказ сплава emk24 -- @1.4 ",""
"passed","Sun Mar 13 06:10:55 GMT 2022","Sun Mar 13 06:12:44 GMT 2022","109214","","","","","","контакты emk24 -- @1.3 ",""
"passed","Sun Mar 13 06:12:44 GMT 2022","Sun Mar 13 06:14:30 GMT 2022","105216","","","","","","контакты emk24 -- @1.4 ",""
"passed","Sun Mar 13 03:47:40 GMT 2022","Sun Mar 13 03:47:57 GMT 2022","16924","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Sun Mar 13 04:50:10 GMT 2022","Sun Mar 13 04:50:25 GMT 2022","14615","","","","","","emksteel.ru заказать звонок -- @1.3 ",""
"broken","Sun Mar 13 04:59:46 GMT 2022","Sun Mar 13 05:00:11 GMT 2022","24798","","","","","","emkworld.com оставить заявку -- @1.1 ",""
"passed","Sun Mar 13 04:58:42 GMT 2022","Sun Mar 13 04:59:03 GMT 2022","20611","","","","","","emkworld.com заказать звонок -- @1.1 ",""
"passed","Sun Mar 13 04:49:55 GMT 2022","Sun Mar 13 04:50:10 GMT 2022","15093","","","","","","emksteel.ru заказать звонок -- @1.2 ",""
"broken","Sun Mar 13 05:46:37 GMT 2022","Sun Mar 13 05:55:23 GMT 2022","526028","","","","","","forging.emk24.su заказать звонок",""
