"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 18 04:18:08 GMT 2022","Wed May 18 04:19:50 GMT 2022","102218","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Wed May 18 05:10:28 GMT 2022","Wed May 18 05:12:16 GMT 2022","107612","","","","","","emk24 -- @1.4 ",""
"passed","Wed May 18 04:34:56 GMT 2022","Wed May 18 04:39:41 GMT 2022","285719","","","","","","Скачать стандарт emk24 -- @1.1 ",""
"passed","Wed May 18 04:07:38 GMT 2022","Wed May 18 04:07:50 GMT 2022","11504","","","","","","railws.com оставить заявку -- @1.2 ",""
"broken","Wed May 18 04:59:19 GMT 2022","Wed May 18 05:01:29 GMT 2022","129794","","","","","","Заказ сплава emk24 -- @1.3 ",""
"passed","Wed May 18 04:28:22 GMT 2022","Wed May 18 04:31:40 GMT 2022","197977","","","","","","контакты emk24 -- @1.3 ",""
"passed","Wed May 18 04:19:50 GMT 2022","Wed May 18 04:21:34 GMT 2022","103554","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Wed May 18 04:09:59 GMT 2022","Wed May 18 04:10:27 GMT 2022","27880","","","","","","корзина emk24 -- @1.2 ",""
"passed","Wed May 18 04:39:41 GMT 2022","Wed May 18 04:41:31 GMT 2022","109812","","","","","","Скачать стандарт emk24 -- @1.2 ",""
"passed","Wed May 18 04:21:34 GMT 2022","Wed May 18 04:26:17 GMT 2022","282991","","","","","","Заказать звонок emk24 -- @1.4 ",""
"passed","Wed May 18 03:53:51 GMT 2022","Wed May 18 03:55:30 GMT 2022","99655","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"broken","Wed May 18 04:48:42 GMT 2022","Wed May 18 04:49:20 GMT 2022","37275","","","","","","emk24 -- @1.2 ",""
"broken","Wed May 18 03:57:36 GMT 2022","Wed May 18 03:59:38 GMT 2022","121366","","","","","","emkmet_ru секция 3",""
"broken","Wed May 18 04:51:34 GMT 2022","Wed May 18 04:52:11 GMT 2022","36374","","","","","","emk24 -- @1.4 ",""
"broken","Wed May 18 03:56:59 GMT 2022","Wed May 18 03:57:36 GMT 2022","36758","","","","","","emkmet_ru секция 2",""
"passed","Wed May 18 04:07:15 GMT 2022","Wed May 18 04:07:27 GMT 2022","11445","","","","","","railws.com заказать звонок",""
"passed","Wed May 18 04:10:27 GMT 2022","Wed May 18 04:11:06 GMT 2022","39625","","","","","","корзина emk24 -- @1.3 ",""
"passed","Wed May 18 04:26:31 GMT 2022","Wed May 18 04:28:22 GMT 2022","110363","","","","","","контакты emk24 -- @1.2 ",""
"passed","Wed May 18 04:41:31 GMT 2022","Wed May 18 04:44:50 GMT 2022","199239","","","","","","Скачать стандарт emk24 -- @1.3 ",""
"passed","Wed May 18 04:44:50 GMT 2022","Wed May 18 04:48:07 GMT 2022","196673","","","","","","Скачать стандарт emk24 -- @1.4 ",""
"broken","Wed May 18 04:48:07 GMT 2022","Wed May 18 04:48:42 GMT 2022","35344","","","","","","emk24 -- @1.1 ",""
"passed","Wed May 18 03:53:36 GMT 2022","Wed May 18 03:53:51 GMT 2022","14509","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Wed May 18 03:55:30 GMT 2022","Wed May 18 03:55:44 GMT 2022","13961","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Wed May 18 04:03:54 GMT 2022","Wed May 18 04:04:12 GMT 2022","18677","","","","","","forging.emk24.su секция 1 и 2 -- @1.1 ",""
"passed","Wed May 18 04:09:32 GMT 2022","Wed May 18 04:09:59 GMT 2022","26868","","","","","","корзина emk24 -- @1.1 ",""
"passed","Wed May 18 04:07:50 GMT 2022","Wed May 18 04:09:32 GMT 2022","102325","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Wed May 18 04:11:06 GMT 2022","Wed May 18 04:14:37 GMT 2022","210688","","","","","","корзина emk24 -- @1.4 ",""
"passed","Wed May 18 05:05:03 GMT 2022","Wed May 18 05:06:51 GMT 2022","107653","","","","","","emk24 -- @1.1 ",""
"broken","Wed May 18 04:14:37 GMT 2022","Wed May 18 04:15:23 GMT 2022","45396","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Wed May 18 03:55:44 GMT 2022","Wed May 18 03:55:58 GMT 2022","13554","","","","","","a1-valves.com оставить заявку -- @1.2 ",""
"passed","Wed May 18 05:08:38 GMT 2022","Wed May 18 05:10:28 GMT 2022","109638","","","","","","emk24 -- @1.3 ",""
"broken","Wed May 18 03:59:38 GMT 2022","Wed May 18 04:03:15 GMT 2022","216983","","","","","","emkworld.com заказать звонок -- @1.1 ",""
"broken","Wed May 18 05:01:29 GMT 2022","Wed May 18 05:05:03 GMT 2022","214614","","","","","","Заказ сплава emk24 -- @1.4 ",""
"broken","Wed May 18 04:03:15 GMT 2022","Wed May 18 04:03:54 GMT 2022","38999","","","","","","emkworld.com оставить заявку -- @1.1 ",""
"passed","Wed May 18 04:31:40 GMT 2022","Wed May 18 04:34:56 GMT 2022","196016","","","","","","контакты emk24 -- @1.4 ",""
"passed","Wed May 18 05:06:51 GMT 2022","Wed May 18 05:08:38 GMT 2022","107441","","","","","","emk24 -- @1.2 ",""
"broken","Wed May 18 04:49:20 GMT 2022","Wed May 18 04:51:34 GMT 2022","134712","","","","","","emk24 -- @1.3 ",""
"passed","Wed May 18 04:17:57 GMT 2022","Wed May 18 04:18:08 GMT 2022","11442","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Wed May 18 04:26:17 GMT 2022","Wed May 18 04:26:31 GMT 2022","14355","","","","","","контакты emk24 -- @1.1 ",""
"broken","Wed May 18 04:15:23 GMT 2022","Wed May 18 04:16:18 GMT 2022","55477","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"passed","Wed May 18 04:04:28 GMT 2022","Wed May 18 04:06:12 GMT 2022","103941","","","","","","forging.emk24.su секция 3",""
"broken","Wed May 18 03:55:58 GMT 2022","Wed May 18 03:56:31 GMT 2022","33283","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"broken","Wed May 18 04:52:11 GMT 2022","Wed May 18 04:57:14 GMT 2022","302778","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Wed May 18 04:07:27 GMT 2022","Wed May 18 04:07:38 GMT 2022","11548","","","","","","railws.com оставить заявку -- @1.1 ",""
