"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 04:20:03 GMT 2022","Fri Oct 28 04:23:23 GMT 2022","200230","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Fri Oct 28 04:41:57 GMT 2022","Fri Oct 28 04:42:12 GMT 2022","15264","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Fri Oct 28 04:05:04 GMT 2022","Fri Oct 28 04:05:17 GMT 2022","13298","","","","","","a1-valves.com оставить заявку -- @1.2 ",""
"broken","Fri Oct 28 04:28:31 GMT 2022","Fri Oct 28 04:29:07 GMT 2022","36525","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Fri Oct 28 04:05:47 GMT 2022","Fri Oct 28 04:06:03 GMT 2022","16519","","","","","","emkmet_ru секция 2",""
"broken","Fri Oct 28 04:28:00 GMT 2022","Fri Oct 28 04:28:31 GMT 2022","30367","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Fri Oct 28 04:10:59 GMT 2022","Fri Oct 28 04:12:43 GMT 2022","103924","","","","","","emkworld.com оставить заявку -- @1.1 ",""
"passed","Fri Oct 28 04:45:30 GMT 2022","Fri Oct 28 04:47:19 GMT 2022","109067","","","","","","Заказ сплава emk24 -- @1.3 ",""
"passed","Fri Oct 28 04:42:12 GMT 2022","Fri Oct 28 04:45:30 GMT 2022","197557","","","","","","Заказ сплава emk24 -- @1.2 ",""
"broken","Fri Oct 28 04:41:23 GMT 2022","Fri Oct 28 04:41:57 GMT 2022","33973","","","","","","emk24 -- @1.4 ",""
"passed","Fri Oct 28 04:29:37 GMT 2022","Fri Oct 28 04:29:51 GMT 2022","13187","","","","","","контакты emk24 -- @1.1 ",""
"passed","Fri Oct 28 04:34:55 GMT 2022","Fri Oct 28 04:36:41 GMT 2022","105900","","","","","","контакты emk24 -- @1.4 ",""
"broken","Fri Oct 28 04:18:09 GMT 2022","Fri Oct 28 04:19:11 GMT 2022","62095","","","","","","корзина emk24 -- @1.3 ",""
"broken","Fri Oct 28 04:40:48 GMT 2022","Fri Oct 28 04:41:23 GMT 2022","34473","","","","","","emk24 -- @1.3 ",""
"passed","Fri Oct 28 04:23:23 GMT 2022","Fri Oct 28 04:25:15 GMT 2022","111926","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
